date,value
2021-02-01 00:00:00,null
2021-02-01 00:15:00,null
2021-02-01 00:30:00,null
2021-02-01 00:45:00,null
2021-02-01 01:00:00,null
2021-02-01 01:15:00,null
2021-02-01 01:30:00,null
2021-02-01 01:45:00,null
2021-02-01 02:00:00,null
2021-02-01 02:15:00,null
2021-02-01 02:30:00,null
2021-02-01 02:45:00,null
2021-02-01 03:00:00,null
2021-02-01 03:15:00,null
2021-02-01 03:30:00,null
2021-02-01 03:45:00,null
2021-02-01 04:00:00,null
2021-02-01 04:15:00,0.0
2021-02-01 04:30:00,null
2021-02-01 04:45:00,null
2021-02-01 05:00:00,null
2021-02-01 05:15:00,null
2021-02-01 05:30:00,null
2021-02-01 05:45:00,null
2021-02-01 06:00:00,null
2021-02-01 06:15:00,null
2021-02-01 06:30:00,null
2021-02-01 06:45:00,0.0
2021-02-01 07:00:00,0.0
2021-02-01 07:15:00,1.0
2021-02-01 07:30:00,14.0
2021-02-01 07:45:00,36.0
2021-02-01 08:00:00,84.0
2021-02-01 08:15:00,101.0
2021-02-01 08:30:00,153.0
2021-02-01 08:45:00,180.0
2021-02-01 09:00:00,274.0
2021-02-01 09:15:00,389.0
2021-02-01 09:30:00,585.0
2021-02-01 09:45:00,656.0
2021-02-01 10:00:00,809.0
2021-02-01 10:15:00,585.0
2021-02-01 10:30:00,795.0
2021-02-01 10:45:00,653.0
2021-02-01 11:00:00,620.0
2021-02-01 11:15:00,638.0
2021-02-01 11:30:00,722.0
2021-02-01 11:45:00,608.0
2021-02-01 12:00:00,449.0
2021-02-01 12:15:00,383.0
2021-02-01 12:30:00,362.0
2021-02-01 12:45:00,275.0
2021-02-01 13:00:00,265.0
2021-02-01 13:15:00,235.0
2021-02-01 13:30:00,199.0
2021-02-01 13:45:00,185.0
2021-02-01 14:00:00,166.0
2021-02-01 14:15:00,188.0
2021-02-01 14:30:00,190.0
2021-02-01 14:45:00,131.0
2021-02-01 15:00:00,128.0
2021-02-01 15:15:00,120.0
2021-02-01 15:30:00,92.0
2021-02-01 15:45:00,83.0
2021-02-01 16:00:00,78.0
2021-02-01 16:15:00,67.0
2021-02-01 16:30:00,34.0
2021-02-01 16:45:00,13.0
2021-02-01 17:00:00,0.0
2021-02-01 17:15:00,0.0
2021-02-01 17:30:00,null
2021-02-01 17:45:00,null
2021-02-01 18:00:00,null
2021-02-01 18:15:00,null
2021-02-01 18:30:00,null
2021-02-01 18:45:00,null
2021-02-01 19:00:00,null
2021-02-01 19:15:00,null
2021-02-01 19:30:00,null
2021-02-01 19:45:00,null
2021-02-01 20:00:00,null
2021-02-01 20:15:00,null
2021-02-01 20:30:00,null
2021-02-01 20:45:00,null
2021-02-01 21:00:00,null
2021-02-01 21:15:00,null
2021-02-01 21:30:00,null
2021-02-01 21:45:00,null
2021-02-01 22:00:00,null
2021-02-01 22:15:00,null
2021-02-01 22:30:00,null
2021-02-01 22:45:00,null
2021-02-01 23:00:00,null
2021-02-01 23:15:00,null
2021-02-01 23:30:00,null
2021-02-01 23:45:00,null
2021-02-02 00:00:00,null
2021-02-02 00:15:00,0.0
2021-02-02 00:30:00,null
2021-02-02 00:45:00,null
2021-02-02 01:00:00,null
2021-02-02 01:15:00,null
2021-02-02 01:30:00,null
2021-02-02 01:45:00,null
2021-02-02 02:00:00,null
2021-02-02 02:15:00,null
2021-02-02 02:30:00,null
2021-02-02 02:45:00,null
2021-02-02 03:00:00,null
2021-02-02 03:15:00,null
2021-02-02 03:30:00,null
2021-02-02 03:45:00,null
2021-02-02 04:00:00,null
2021-02-02 04:15:00,null
2021-02-02 04:30:00,null
2021-02-02 04:45:00,null
2021-02-02 05:00:00,null
2021-02-02 05:15:00,null
2021-02-02 05:30:00,null
2021-02-02 05:45:00,null
2021-02-02 06:00:00,null
2021-02-02 06:15:00,null
2021-02-02 06:30:00,null
2021-02-02 06:45:00,0.0
2021-02-02 07:00:00,0.0
2021-02-02 07:15:00,2.0
2021-02-02 07:30:00,10.0
2021-02-02 07:45:00,42.0
2021-02-02 08:00:00,82.0
2021-02-02 08:15:00,98.0
2021-02-02 08:30:00,120.0
2021-02-02 08:45:00,157.0
2021-02-02 09:00:00,238.0
2021-02-02 09:15:00,366.0
2021-02-02 09:30:00,483.0
2021-02-02 09:45:00,643.0
2021-02-02 10:00:00,731.0
2021-02-02 10:15:00,777.0
2021-02-02 10:30:00,816.0
2021-02-02 10:45:00,847.0
2021-02-02 11:00:00,874.0
2021-02-02 11:15:00,894.0
2021-02-02 11:30:00,904.0
2021-02-02 11:45:00,910.0
2021-02-02 12:00:00,915.0
2021-02-02 12:15:00,902.0
2021-02-02 12:30:00,870.0
2021-02-02 12:45:00,843.0
2021-02-02 13:00:00,800.0
2021-02-02 13:15:00,727.0
2021-02-02 13:30:00,664.0
2021-02-02 13:45:00,610.0
2021-02-02 14:00:00,576.0
2021-02-02 14:15:00,547.0
2021-02-02 14:30:00,497.0
2021-02-02 14:45:00,407.0
2021-02-02 15:00:00,348.0
2021-02-02 15:15:00,318.0
2021-02-02 15:30:00,295.0
2021-02-02 15:45:00,295.0
2021-02-02 16:00:00,282.0
2021-02-02 16:15:00,243.0
2021-02-02 16:30:00,189.0
2021-02-02 16:45:00,120.0
2021-02-02 17:00:00,34.0
2021-02-02 17:15:00,0.0
2021-02-02 17:30:00,0.0
2021-02-02 17:45:00,null
2021-02-02 18:00:00,null
2021-02-02 18:15:00,null
2021-02-02 18:30:00,null
2021-02-02 18:45:00,null
2021-02-02 19:00:00,null
2021-02-02 19:15:00,null
2021-02-02 19:30:00,null
2021-02-02 19:45:00,null
2021-02-02 20:00:00,null
2021-02-02 20:15:00,0.0
2021-02-02 20:30:00,null
2021-02-02 20:45:00,null
2021-02-02 21:00:00,null
2021-02-02 21:15:00,null
2021-02-02 21:30:00,null
2021-02-02 21:45:00,null
2021-02-02 22:00:00,null
2021-02-02 22:15:00,null
2021-02-02 22:30:00,null
2021-02-02 22:45:00,null
2021-02-02 23:00:00,null
2021-02-02 23:15:00,null
2021-02-02 23:30:00,null
2021-02-02 23:45:00,null
2021-02-03 00:00:00,null
2021-02-03 00:15:00,null
2021-02-03 00:30:00,null
2021-02-03 00:45:00,null
2021-02-03 01:00:00,null
2021-02-03 01:15:00,null
2021-02-03 01:30:00,null
2021-02-03 01:45:00,null
2021-02-03 02:00:00,null
2021-02-03 02:15:00,null
2021-02-03 02:30:00,null
2021-02-03 02:45:00,null
2021-02-03 03:00:00,null
2021-02-03 03:15:00,null
2021-02-03 03:30:00,null
2021-02-03 03:45:00,null
2021-02-03 04:00:00,null
2021-02-03 04:15:00,null
2021-02-03 04:30:00,null
2021-02-03 04:45:00,null
2021-02-03 05:00:00,null
2021-02-03 05:15:00,null
2021-02-03 05:30:00,null
2021-02-03 05:45:00,null
2021-02-03 06:00:00,null
2021-02-03 06:15:00,0.0
2021-02-03 06:30:00,null
2021-02-03 06:45:00,0.0
2021-02-03 07:00:00,0.0
2021-02-03 07:15:00,1.0
2021-02-03 07:30:00,6.0
2021-02-03 07:45:00,28.0
2021-02-03 08:00:00,83.0
2021-02-03 08:15:00,98.0
2021-02-03 08:30:00,118.0
2021-02-03 08:45:00,167.0
2021-02-03 09:00:00,246.0
2021-02-03 09:15:00,369.0
2021-02-03 09:30:00,490.0
2021-02-03 09:45:00,650.0
2021-02-03 10:00:00,732.0
2021-02-03 10:15:00,770.0
2021-02-03 10:30:00,811.0
2021-02-03 10:45:00,855.0
2021-02-03 11:00:00,916.0
2021-02-03 11:15:00,1076.0
2021-02-03 11:30:00,994.0
2021-02-03 11:45:00,1046.0
2021-02-03 12:00:00,681.0
2021-02-03 12:15:00,683.0
2021-02-03 12:30:00,846.0
2021-02-03 12:45:00,1011.0
2021-02-03 13:00:00,915.0
2021-02-03 13:15:00,571.0
2021-02-03 13:30:00,319.0
2021-02-03 13:45:00,454.0
2021-02-03 14:00:00,432.0
2021-02-03 14:15:00,290.0
2021-02-03 14:30:00,147.0
2021-02-03 14:45:00,166.0
2021-02-03 15:00:00,118.0
2021-02-03 15:15:00,109.0
2021-02-03 15:30:00,133.0
2021-02-03 15:45:00,147.0
2021-02-03 16:00:00,128.0
2021-02-03 16:15:00,81.0
2021-02-03 16:30:00,38.0
2021-02-03 16:45:00,0.0
2021-02-03 17:00:00,0.0
2021-02-03 17:15:00,0.0
2021-02-03 17:30:00,0.0
2021-02-03 17:45:00,null
2021-02-03 18:00:00,null
2021-02-03 18:15:00,null
2021-02-03 18:30:00,null
2021-02-03 18:45:00,null
2021-02-03 19:00:00,null
2021-02-03 19:15:00,null
2021-02-03 19:30:00,null
2021-02-03 19:45:00,null
2021-02-03 20:00:00,null
2021-02-03 20:15:00,null
2021-02-03 20:30:00,null
2021-02-03 20:45:00,null
2021-02-03 21:00:00,null
2021-02-03 21:15:00,null
2021-02-03 21:30:00,null
2021-02-03 21:45:00,null
2021-02-03 22:00:00,null
2021-02-03 22:15:00,null
2021-02-03 22:30:00,null
2021-02-03 22:45:00,null
2021-02-03 23:00:00,null
2021-02-03 23:15:00,null
2021-02-03 23:30:00,null
2021-02-03 23:45:00,null
2021-02-04 00:00:00,null
2021-02-04 00:15:00,null
2021-02-04 00:30:00,null
2021-02-04 00:45:00,null
2021-02-04 01:00:00,null
2021-02-04 01:15:00,null
2021-02-04 01:30:00,null
2021-02-04 01:45:00,null
2021-02-04 02:00:00,null
2021-02-04 02:15:00,0.0
2021-02-04 02:30:00,null
2021-02-04 02:45:00,null
2021-02-04 03:00:00,null
2021-02-04 03:15:00,null
2021-02-04 03:30:00,null
2021-02-04 03:45:00,null
2021-02-04 04:00:00,null
2021-02-04 04:15:00,null
2021-02-04 04:30:00,null
2021-02-04 04:45:00,null
2021-02-04 05:00:00,null
2021-02-04 05:15:00,null
2021-02-04 05:30:00,null
2021-02-04 05:45:00,null
2021-02-04 06:00:00,null
2021-02-04 06:15:00,null
2021-02-04 06:30:00,null
2021-02-04 06:45:00,0.0
2021-02-04 07:00:00,0.0
2021-02-04 07:15:00,3.0
2021-02-04 07:30:00,13.0
2021-02-04 07:45:00,57.0
2021-02-04 08:00:00,118.0
2021-02-04 08:15:00,153.0
2021-02-04 08:30:00,172.0
2021-02-04 08:45:00,208.0
2021-02-04 09:00:00,300.0
2021-02-04 09:15:00,450.0
2021-02-04 09:30:00,601.0
