date,value
2020-06-01 00:00:00,null
2020-06-01 00:15:00,null
2020-06-01 00:30:00,null
2020-06-01 00:45:00,null
2020-06-01 01:00:00,null
2020-06-01 01:15:00,null
2020-06-01 01:30:00,null
2020-06-01 01:45:00,null
2020-06-01 02:00:00,null
2020-06-01 02:15:00,null
2020-06-01 02:30:00,null
2020-06-01 02:45:00,null
2020-06-01 03:00:00,null
2020-06-01 03:15:00,null
2020-06-01 03:30:00,null
2020-06-01 03:45:00,null
2020-06-01 04:00:00,null
2020-06-01 04:15:00,null
2020-06-01 04:30:00,null
2020-06-01 04:45:00,null
2020-06-01 05:00:00,null
2020-06-01 05:15:00,0.0
2020-06-01 05:30:00,0.0
2020-06-01 05:45:00,26.599483
2020-06-01 06:00:00,174.63449
2020-06-01 06:15:00,517.67896
2020-06-01 06:30:00,1014.31915
2020-06-01 06:45:00,1465.4692
2020-06-01 07:00:00,1751.9111
2020-06-01 07:15:00,1987.0679
2020-06-01 07:30:00,2217.8757
2020-06-01 07:45:00,2420.4038
2020-06-01 08:00:00,2722.4358
2020-06-01 08:15:00,3025.6704
2020-06-01 08:30:00,3306.0352
2020-06-01 08:45:00,3578.2964
2020-06-01 09:00:00,3837.6306
2020-06-01 09:15:00,4001.312
2020-06-01 09:30:00,4204.542
2020-06-01 09:45:00,4389.6094
2020-06-01 10:00:00,4593.849
2020-06-01 10:15:00,4773.753
2020-06-01 10:30:00,4947.6675
2020-06-01 10:45:00,5108.2827
2020-06-01 11:00:00,5267.453
2020-06-01 11:15:00,5373.1743
2020-06-01 11:30:00,5320.1763
2020-06-01 11:45:00,5395.4175
2020-06-01 12:00:00,5479.315
2020-06-01 12:15:00,5551.637
2020-06-01 12:30:00,5583.7793
2020-06-01 12:45:00,5592.5317
2020-06-01 13:00:00,5606.724
2020-06-01 13:15:00,5606.09
2020-06-01 13:30:00,5647.1753
2020-06-01 13:45:00,5599.75
2020-06-01 14:00:00,3005.5808
2020-06-01 14:15:00,1492.5167
2020-06-01 14:30:00,1566.9663
2020-06-01 14:45:00,2088.9182
2020-06-01 15:00:00,4515.686
2020-06-01 15:15:00,5162.823
2020-06-01 15:30:00,4619.657
2020-06-01 15:45:00,3089.1719
2020-06-01 16:00:00,2109.8096
2020-06-01 16:15:00,2293.6797
2020-06-01 16:30:00,2265.8777
2020-06-01 16:45:00,1619.576
2020-06-01 17:00:00,2798.5188
2020-06-01 17:15:00,1922.1829
2020-06-01 17:30:00,1792.8167
2020-06-01 17:45:00,1385.7965
2020-06-01 18:00:00,1042.1953
2020-06-01 18:15:00,825.11487
2020-06-01 18:30:00,711.3988
2020-06-01 18:45:00,549.84607
2020-06-01 19:00:00,465.5521
2020-06-01 19:15:00,368.95956
2020-06-01 19:30:00,248.61548
2020-06-01 19:45:00,112.12195
2020-06-01 20:00:00,8.186679
2020-06-01 20:15:00,0.0
2020-06-01 20:30:00,null
2020-06-01 20:45:00,null
2020-06-01 21:00:00,null
2020-06-01 21:15:00,null
2020-06-01 21:30:00,null
2020-06-01 21:45:00,null
2020-06-01 22:00:00,null
2020-06-01 22:15:00,null
2020-06-01 22:30:00,null
2020-06-01 22:45:00,null
2020-06-01 23:00:00,null
2020-06-01 23:15:00,null
2020-06-01 23:30:00,null
2020-06-01 23:45:00,null
2020-06-02 00:00:00,null
2020-06-02 00:15:00,null
2020-06-02 00:30:00,null
2020-06-02 00:45:00,null
2020-06-02 01:00:00,0.0
2020-06-02 01:15:00,null
2020-06-02 01:30:00,null
2020-06-02 01:45:00,null
2020-06-02 02:00:00,null
2020-06-02 02:15:00,null
2020-06-02 02:30:00,null
2020-06-02 02:45:00,null
2020-06-02 03:00:00,null
2020-06-02 03:15:00,null
2020-06-02 03:30:00,null
2020-06-02 03:45:00,null
2020-06-02 04:00:00,null
2020-06-02 04:15:00,null
2020-06-02 04:30:00,null
2020-06-02 04:45:00,null
2020-06-02 05:00:00,null
2020-06-02 05:15:00,0.0
2020-06-02 05:30:00,11.837832
2020-06-02 05:45:00,95.925385
2020-06-02 06:00:00,250.22362
2020-06-02 06:15:00,313.0616
2020-06-02 06:30:00,373.0537
2020-06-02 06:45:00,438.82254
2020-06-02 07:00:00,542.97955
2020-06-02 07:15:00,1212.9109
2020-06-02 07:30:00,2306.5002
2020-06-02 07:45:00,2499.2837
2020-06-02 08:00:00,2592.2664
2020-06-02 08:15:00,2573.2466
2020-06-02 08:30:00,2797.1213
2020-06-02 08:45:00,2896.4512
2020-06-02 09:00:00,3462.1687
2020-06-02 09:15:00,3595.2957
2020-06-02 09:30:00,3915.1233
2020-06-02 09:45:00,4120.0015
2020-06-02 10:00:00,5212.485
2020-06-02 10:15:00,4389.783
2020-06-02 10:30:00,4444.6714
2020-06-02 10:45:00,3126.8552
2020-06-02 11:00:00,2907.6562
2020-06-02 11:15:00,3111.6433
2020-06-02 11:30:00,2918.9792
2020-06-02 11:45:00,2716.592
2020-06-02 12:00:00,4382.3945
2020-06-02 12:15:00,4197.0996
2020-06-02 12:30:00,4696.788
2020-06-02 12:45:00,5613.2773
2020-06-02 13:00:00,3875.7263
2020-06-02 13:15:00,4693.6577
2020-06-02 13:30:00,3856.0317
2020-06-02 13:45:00,5621.9385
2020-06-02 14:00:00,5077.254
2020-06-02 14:15:00,3266.5361
2020-06-02 14:30:00,2622.941
2020-06-02 14:45:00,5569.835
2020-06-02 15:00:00,4941.048
2020-06-02 15:15:00,4678.075
2020-06-02 15:30:00,4370.839
2020-06-02 15:45:00,4148.85
2020-06-02 16:00:00,3278.6816
2020-06-02 16:15:00,1567.2812
2020-06-02 16:30:00,886.8791
2020-06-02 16:45:00,2947.6582
2020-06-02 17:00:00,3044.8333
2020-06-02 17:15:00,2312.6653
2020-06-02 17:30:00,1455.054
2020-06-02 17:45:00,527.05853
2020-06-02 18:00:00,336.39432
2020-06-02 18:15:00,326.77228
2020-06-02 18:30:00,515.1447
2020-06-02 18:45:00,410.6107
2020-06-02 19:00:00,217.25328
2020-06-02 19:15:00,163.81029
2020-06-02 19:30:00,100.172356
2020-06-02 19:45:00,50.521877
2020-06-02 20:00:00,0.0
2020-06-02 20:15:00,0.0
2020-06-02 20:30:00,0.0
2020-06-02 20:45:00,null
2020-06-02 21:00:00,null
2020-06-02 21:15:00,null
2020-06-02 21:30:00,null
2020-06-02 21:45:00,null
2020-06-02 22:00:00,null
2020-06-02 22:15:00,null
2020-06-02 22:30:00,null
2020-06-02 22:45:00,null
2020-06-02 23:00:00,null
2020-06-02 23:15:00,null
2020-06-02 23:30:00,null
2020-06-02 23:45:00,null
2020-06-03 00:00:00,null
2020-06-03 00:15:00,null
2020-06-03 00:30:00,null
2020-06-03 00:45:00,null
2020-06-03 01:00:00,null
2020-06-03 01:15:00,null
2020-06-03 01:30:00,null
2020-06-03 01:45:00,null
2020-06-03 02:00:00,null
2020-06-03 02:15:00,null
2020-06-03 02:30:00,null
2020-06-03 02:45:00,null
2020-06-03 03:00:00,null
2020-06-03 03:15:00,null
2020-06-03 03:30:00,null
2020-06-03 03:45:00,null
2020-06-03 04:00:00,null
2020-06-03 04:15:00,null
2020-06-03 04:30:00,null
2020-06-03 04:45:00,null
2020-06-03 05:00:00,null
2020-06-03 05:15:00,0.0
2020-06-03 05:30:00,0.0
2020-06-03 05:45:00,91.968834
2020-06-03 06:00:00,373.2033
2020-06-03 06:15:00,725.5754
2020-06-03 06:30:00,1206.725
2020-06-03 06:45:00,1509.7721
2020-06-03 07:00:00,1760.1409
2020-06-03 07:15:00,1751.204
2020-06-03 07:30:00,1915.7401
2020-06-03 07:45:00,2417.45
2020-06-03 08:00:00,2757.4763
2020-06-03 08:15:00,3009.1597
2020-06-03 08:30:00,3299.5615
2020-06-03 08:45:00,3583.2036
2020-06-03 09:00:00,3830.7488
2020-06-03 09:15:00,4051.295
2020-06-03 09:30:00,4279.7983
2020-06-03 09:45:00,4489.1313
2020-06-03 10:00:00,4691.501
2020-06-03 10:15:00,4854.484
2020-06-03 10:30:00,5052.727
2020-06-03 10:45:00,5092.855
2020-06-03 11:00:00,5587.905
2020-06-03 11:15:00,4463.8154
2020-06-03 11:30:00,2818.3083
2020-06-03 11:45:00,5811.519
2020-06-03 12:00:00,5692.482
2020-06-03 12:15:00,4083.1416
2020-06-03 12:30:00,4899.2793
2020-06-03 12:45:00,5406.5376
2020-06-03 13:00:00,5880.009
2020-06-03 13:15:00,2515.8896
2020-06-03 13:30:00,4453.0327
2020-06-03 13:45:00,5487.4897
2020-06-03 14:00:00,5279.098
2020-06-03 14:15:00,5471.8525
2020-06-03 14:30:00,5217.9062
2020-06-03 14:45:00,2126.6445
2020-06-03 15:00:00,3179.6191
2020-06-03 15:15:00,4822.6606
2020-06-03 15:30:00,3775.1577
